idnBaseCity	BASE_CITY_CODE	BASE_CITY_NAME	BaseAutomated	BASE_ST_ADDRESS	BASE_CITY	BASE_STATE	BASE_ZIP_1	BASE_ZIP_2	BASE_PHONE_NO	strRegion	BaseEoir1Flag	BaseEoir1Code	BaseEoir1Suba	BaseEoir1Subb	BaseEoir1Subc	BaseEoir1Subd	BaseEoir1Sube	BaseEoir1Subf	BaseEoir2Flag	BaseEoir2Code	BaseEoir2Suba	BaseEoir2Subb	BaseEoir2Subc	BaseEoir2Subd	BaseEoir2Sube	BaseEoir2Subf	BaseEoir5Flag	BaseEoir5Code	BaseEoir5Suba	BaseEoir5Subb	BaseEoir5Subc	BaseEoir5Subd	BaseEoir5Sube	BaseEoir5Subf	BaseEoir6Flag	BaseEoir6Code	BaseEoir6Suba	BaseEoir6Subb	BaseEoir6Subc	BaseEoir6Subd	BaseEoir6Sube	BaseEoir6Subf	BaseEoir7Flag	BaseEoir7Code	BaseEoir7Suba	BaseEoir7Subb	BaseEoir7Subc	BaseEoir7Subd	BaseEoir7Sube	BaseEoir7Subf	BaseEoir34Flag	BaseEoir34Code	BaseEoir34Suba	BaseEoir34Subb	BaseEoir34Subc	BaseEoir34Subd	BaseEoir34Sube	BaseEoir34Subf	BaseEoir35Flag	BaseEoir35Code	BaseEoir35Suba	BaseEoir35Subb	BaseEoir35Subc	BaseEoir35Subd	BaseEoir35Sube	BaseEoir35Subf	BaseEoir36Flag	BaseEoir36Code	BaseEoir36Suba	BaseEoir36Subb	BaseEoir36Subc	BaseEoir36Subd	BaseEoir36Sube	BaseEoir36Subf	BaseEoir39Flag	BaseEoir39Code	BaseEoir39Suba	BaseEoir39Subb	BaseEoir39Subc	BaseEoir39Subd	BaseEoir39Sube	BaseEoir39Subf	I122Flag	I122Code	I122Suba	I122Subb	I122Subc	I122Subd	I122Sube	I122Subf	RopDefault	RopPrtClass	BaseSplPrtClass	datCreatedOn	datModifiedOn	blnActive	blnBCIS
78	JNA	IMMIGRATION COURT	M	830 PINEHILL ROAD	JENA	LA	71342		3183356880	Eastern																																																																																				2017-08-16 12:03:58.000	2020-10-07 22:04:08.000	1	1
80	LAD	IMMIGRATION COURT	M	300 N. LOS ANGELES ST, RM 4330	LOS ANGELES	CA	90012		2135764701	Western																																																																																				2017-10-30 15:33:31.000	2017-12-20 13:35:52.000	0	1
81	LOU	IMMIGRATION COURT	M	332 W. BROADWAY 11TH FLOOR	LOUISVILLE	KY	40202		5023042000	Eastern																																																																																				2018-03-27 12:54:51.000	2021-11-12 23:05:03.233	0	1
84	CIC	IMMIGRATION COURT	M	806 HILBIG RD SUITE 2-300	CONROE	TX	77301		9365205400	Western																																																																																				2018-09-06 16:18:18.000	2023-12-06 08:46:59.000	1	1
85	FTW	IMMIGRATION COURT	M	819 TAYLOR STREET, SUITE 600	FORT WORTH	TX	76102		8173330500	Eastern																																																																																				2018-09-27 14:31:56.000	2022-05-05 10:05:12.000	1	1
86	NYV	IMMIGRATION COURT	M	201 VARICK ST., 5TH FL RM 507	NEW YORK	NY	10014		6466385750	Eastern																																																																																				2019-02-05 21:39:26.000	2021-09-29 21:03:49.000	1	1
88	NYB	IMMIGRATION COURT		290 BROADWAY -15th FLR	NEW YORK	NY	10007		2122404900	Eastern																																																																																				2019-08-01 22:04:09.000	2021-09-22 21:13:02.000	1	1
90	SMO	IMMIGRATION COURT		650 CAPITOL MALL, SUITE 4-200	SACRAMENTO	CA	95814		9164479301	Western																																																																																				2019-08-09 22:09:07.000	2023-05-25 10:59:27.000	1	1
93	OIT	OIT TEST BASE CITY - ECAS		5109 Leesburg Pike FallsChurch	OIT SD Test	VA	22202		7037037030	Eastern																																																																																				2019-09-11 09:09:06.000	2025-11-21 23:22:26.000	0	0
94	FCI	IMMIGRATION COURT		5107 LEESBURG PIKE	FALLS CHURCH	VA	22041		7037568002	Eastern																																																																																				2019-09-13 14:10:27.000	2022-05-05 10:04:15.000	1	1
95	ATD	IMMIGRATION COURT		180 TED TURNER DR SW, STE 241	ATLANTA	GA	30303		4046532140	Eastern																																																																																				2019-10-10 20:01:28.000	2019-10-10 20:01:28.000	1	1
96	VNS	IMMIGRATION COURT		6230 VAN NUYS BLVD, STE 300	VAN NUYS	CA	91401		8189045200	Western																																																																																				2019-11-15 13:58:32.000	2021-09-01 21:02:52.000	1	1
